business_id,lat,long,name,neighborhood
AjEbIBw6ZFfln7ePHha9PA,35.9607337,-114.939821,CK'S BBQ & Catering,
hTzcHtk4-0QJnFUbkKpd5Q,36.1783477,-115.1769162,Citi Trends,
UwIpS9UKsPiKAv1fiEYhqg,36.1883858514,-115.186123699,Nevada Title And Payday Loans,
vJIuDBdu01vCA8y1fwR1OQ,36.1922841,-115.1592718,CakesbyToi,
YZCHr68c5aEVHz0bkq9K2g,36.2608162,-115.1711298,Park Stone Pavers,
kgffcoxT6BQp-gJ-UQ7Czw,36.2017936,-115.2819809,Subway,Summerlin
0jtRI7hVMpQHpUVtUy4ITw,36.2019904392,-115.283122245,Omelet House Summerlin,Summerlin
0i6GlR5YTCMlwthjqw6ZTQ,36.1486584,-115.2098129,Cinthya's Beauty Salon,Westside
oSS0p8TeF9BTTD7QWtO6gg,36.1316401,-115.1908263,Aria Remodeling,Westside
DR30lzIHVTF6xhyMI-3IlQ,36.154233,-115.160753,Not Just Antiques Mart,
VVtPNiqwtR_Os7J51mANGQ,36.1333689916,-115.178365074,JAM Scooter Rental Of Las Vegas,
syCI-5YJ8VJhFzHlzfpP0g,36.3656399,-115.2244853,Shower Solutions,
JJEx5wIqs9iGGATOagE8Sg,36.271169,-115.2677588,Baja Fresh Mexican Grill,Centennial
JbIi9WCtidvqdTt8l2KMQg,35.9995945787,-115.183851533,Chevron Pitstop,Southwest
v33d7h_Zw_I9ZSxvPdqtkw,36.0804531,-115.0381656,Central Church - Henderson,
Vk-mhesVc-Lp_1eOcggSMg,36.0641464,-115.0199541,Sunset Castle,
coVhQD_EAnCof_a8sGM03g,36.125587,-115.211199,Provence Bakery,Chinatown
3jh0v0Gz7OOhDmWnQ7sP5g,36.274166,-115.252954,Vegas Vapolife,Centennial
hb2GyJ0rSxI9CT90BbYXdw,36.0156497,-115.0564666,Classic Canine III,
aeLrAABNEuZgyY17-XNhvQ,36.0260812,-115.0467381,Crestview Dental,
AHtuwL9NkPR8xikEymk6kw,36.204563,-115.1363366,Unique Wireless,
-26MGfikhJiTfCI-GqmzhQ,36.1458459,-115.2249484,GoPro Door & Glass,Westside
6sBCncAPTvC_xN64M2Qarw,36.009094,-114.9905495,Tru Physical Therapy,
6yvgYqjS7T1P-PntaZAGQQ,35.9985769,-114.9545838,Act Fast Lock Smith,
N9BN9ldVl1FNzcB9_eAstw,36.1590984,-115.3379148,Red Rock Bowling UYE Part 2,Summerlin
STcSSjPOZ0FWtjvjqw99Dg,36.013238,-115.0595753,Black Mountain Orthopaedics,
zhxnD7J5_sCrKSw5cwI9dQ,36.1731404,-115.0779447,Popeyes Louisiana Kitchen,Sunrise
2kWrSFkIes_d2BMg4YrRtA,36.169353,-115.061694,Pizza Hut,Sunrise
6llKs7K_tn8ChXcIM-oTvg,36.1259335,-115.1352534,Sansei Japan,Eastside
ei7Sc2UrG4cdXcocfTrppQ,36.116821,-115.156943,Pariente Law Firm,Eastside
xinXcgLRuVjQ6W8ufxQxCw,36.128501,-115.080842,Hoppy's Transmission & Automotive,
nqnYDW_FMwuTejAPNEOhqA,36.2747334,-115.268934,Seasonal Adventures Pumpkin Patch,Centennial
WuiRF916fJl6aG5wC8qRAg,36.2777636,-115.1163171,Advanced Brows,
arx-ZLLBY9RwOo_NahD9-g,36.0595548,-115.1823852,Executive Coach and Carriage,Southwest
Tjjj9XSBc9Hr_RCGD6JURQ,36.1251257758,-115.177977871,MGM Resorts International Contact Center,
A1R8iIeAFlbZWUhHlnaszw,36.056157,-115.2813044,Kara Tiana,Spring Valley
YV9GVfmDSDM7HSV0jVdTOA,36.0996708,-115.1161439,El Pollo Loco,Southeast
F7OsiFk9aLZtqZczA84xpw,36.100395,-115.1363065,Popeyes Louisiana Kitchen,Southeast
uE4H9oQikACJtu1ECBsoTQ,36.0648695,-115.1202663,Las Vegas BikeFest,Southeast
PqwEuhVLp4PzfAg5ROgTaA,36.0803201,-115.1217779,Walmart Auto Care Centers,Southeast
mJrBqVEDagmcodagO3wOlg,36.2177894401,-115.207061079,GTS Properties,Northwest
KipckrGshAP7H-T6ZupyXA,36.219850956,-115.214004085,Cheyenne Tonopah Animal Hospital,Northwest
qbiyJvvqK8w8a0Z2rgg8Hg,36.0620159,-115.2476202,Marshalls,Spring Valley
d_UekUpebqP0BEIK-Xw3nA,36.0608745089,-115.263973573,Sanford H Feibusch, CPA,Spring Valley
YB08sDZJag_CwOLHAEaDQw,36.1333968,-115.2784416,Bill Hargraves - Keller Williams Realty,Westside
89mRh-a5opfulKY70RW6zA,36.1441267,-115.2645316,TNT Pawn,Westside
XeDLyY2a7nZ3IEY4RYslXA,36.147496,-115.2980657,Chicago Brewing Company,Westside
FjlJ-G7weMuAqCg-swy-Zw,36.225528717,-115.279983521,Durango Hills Park,Northwest
9AN29iOOziAU89-tgFQdoQ,36.018286,-115.1179043,Absolute Dental,Southeast
EinRpc_l2KVYXE8659HeyA,36.0357492,-115.1533426,Ceremony of Dreams,Southeast
MDVbJicJvqaO4WGx0vEabQ,36.052802,-115.171496,Chili's,Southeast
Q9v3zXGR2TduAKzn5B1BhQ,36.1441871,-115.2726746,Summerlin Dermatology,Westside
