business_id,count
AjEbIBw6ZFfln7ePHha9PA,29
hTzcHtk4-0QJnFUbkKpd5Q,344
UwIpS9UKsPiKAv1fiEYhqg,256
vJIuDBdu01vCA8y1fwR1OQ,115
YZCHr68c5aEVHz0bkq9K2g,243
kgffcoxT6BQp-gJ-UQ7Czw,360
0jtRI7hVMpQHpUVtUy4ITw,346
0i6GlR5YTCMlwthjqw6ZTQ,919
oSS0p8TeF9BTTD7QWtO6gg,2066
DR30lzIHVTF6xhyMI-3IlQ,1456
VVtPNiqwtR_Os7J51mANGQ,2613
syCI-5YJ8VJhFzHlzfpP0g,23
JJEx5wIqs9iGGATOagE8Sg,445
JbIi9WCtidvqdTt8l2KMQg,114
v33d7h_Zw_I9ZSxvPdqtkw,447
Vk-mhesVc-Lp_1eOcggSMg,468
coVhQD_EAnCof_a8sGM03g,1593
3jh0v0Gz7OOhDmWnQ7sP5g,417
hb2GyJ0rSxI9CT90BbYXdw,305
aeLrAABNEuZgyY17-XNhvQ,452
AHtuwL9NkPR8xikEymk6kw,217
-26MGfikhJiTfCI-GqmzhQ,1049
6sBCncAPTvC_xN64M2Qarw,118
6yvgYqjS7T1P-PntaZAGQQ,103
N9BN9ldVl1FNzcB9_eAstw,481
STcSSjPOZ0FWtjvjqw99Dg,307
zhxnD7J5_sCrKSw5cwI9dQ,362
2kWrSFkIes_d2BMg4YrRtA,362
6llKs7K_tn8ChXcIM-oTvg,1003
ei7Sc2UrG4cdXcocfTrppQ,2908
xinXcgLRuVjQ6W8ufxQxCw,367
nqnYDW_FMwuTejAPNEOhqA,477
WuiRF916fJl6aG5wC8qRAg,140
arx-ZLLBY9RwOo_NahD9-g,670
Tjjj9XSBc9Hr_RCGD6JURQ,3161
A1R8iIeAFlbZWUhHlnaszw,543
YV9GVfmDSDM7HSV0jVdTOA,784
F7OsiFk9aLZtqZczA84xpw,919
uE4H9oQikACJtu1ECBsoTQ,576
PqwEuhVLp4PzfAg5ROgTaA,660
